【每股收益(元)】	【每股净资产(元)】	【调整后净资产(元)】	【净资产收益率(％)】	【股东权益比率(％)】	【每股未分利润(元)】	【主营收入增长率(％)】	【主营利润增长率(％)】	【主营业务利润率(％)】	【总资产增长率(％)】	【股东权益增长率(％)】	【每股收益增长率(％)】	【流动比率】	【速动比率】	【应收帐款周转率】	【存货周转率】	【资产负债比(％)】
0.996	6.98	6.78	14.26	30.848	1.8424	1.17	42.19	21.65	-2.74	24.84	64.27	1.7	1.14	2.68	2.16	2140000
0.105	2.14	2.07	4.91	46.44	-0.0501	610.11	5920.87	43.58	12.67	-0.71	892.11	0.91	0.82	0.42	2.33	52.08
0.093	1.797	1.707	5.185	40.139	-0.3446	16.83	-1.56	25.84	3.65	5.94	16.86	0.91	0.78	5.36	2.41	53.15
0.146	2.335	2.286	6.242	89.159	0.1457	8.34	12.06	57.1	4.75	4.34	65.58	3.5	3.47	5.02	16.35	10.84
-0.116	0.904	0.36	-12.828	23.831	-1.4635	-35.07	-184.01	-7.54	3.84	-11.93	-2468.17	0.95	0.65	2.26	0.93	76.12
0.13	3.58	3.56	3.54	76.503	0.8941	0.9	29.44	33.51	20.57	3.39	2.78	2.93	2.58	2.54	1.6	22.59
0.022	1.727	1.596	1.254	30.435	0.0617	-25.86	13.77	25.18	0.32	-9.75	9.96	1	0.49	3.35	0.31	67.04
-0.115	-0.289	-0.508	39.793	-42.45	-1.0774	0	0	0	-29.32	-252.41	-76.55	0.65	0.65	0	0	142.45
0.033	2.342	2.118	1.4	42.401	0.1515	-26.39	-44.18	14.12	2.88	-2.31	59.79	1.35	1.16	1.05	2.34	44.2
0.09	1.42	1.23	6.1	28.496	0.1929	51.11	39.28	22.47	169.65	87.42	-40.24	0.85	0.64	9.66	2.58	71.5
0.31	2.06	2.04	15	37.66	0.2261	2.21	10.73	38.46	26.06	14.13	1.42	0.55	0.3	3.41	2.34	50.63
0.076	2.13	2.13	3.581	49.371	0.4099	0	0	24.82	0	0	0	1.52	1.33	0	1.17	50.38
0.136	1.457	1.453	9.31	35.413	-1.0089	110.02	96.64	41.04	-21.5	22.02	123.18	0.48	0.46	0.28	0.81	58.87
0.242	5.708	5.598	4.24	61.547	0.2467	-23.34	-26	26.18	-2.83	2.63	-22.87	1.96	1.65	2.15	2.78	35.7
0.13	2.65	2.63	4.77	57.683	0.1892	149.06	144.02	60.19	52.34	1.67	-16.58	1.45	1.45	2.91	9.0704	31.83
0.033	2.026	1.986	1.633	40.964	0.0738	64.6	49.59	26.23	26.28	-10.98	37.28	1.44	1.14	2.12	1.51	56.85
0.226	6.88	6.77	3.28	48.719	0.9341	2.4	-20.12	21.74	78.91	111.61	-28.73	2.55	2.17	4.16	1.95	39.1
0.018	1.17	1.1	1.56	57.398	-0.8084	172.32	2511.99	41.3	-12.15	16.28	154.12	1.34	0.49	0.29	0.06	42.55
